region_id,vintage_year,growing_season_temp_c,gdd,days_above_30,days_above_35,spring_frost_days,rain_apr_sep_mm,rain_jul_aug_mm,rain_sep_mm,longest_dry_spell_days,water_stress_index,harvest_rain_risk_index,flags,summary,monthly,source_type,confidence
alsace,2000,1.59,0.0,0,0,1,56.8,25.4,7.4,27,50.0,12.0,"{""solaire"":false,""frais"":false,""sec"":false,""pluvieux"":true,""stressHydrique"":false,""risquePluieVendanges"":false,""gelPrintemps"":false,""forteChaleur"":false}","Alsace 2000 : pluvieux, calcule a partir des observations quotidiennes Meteo-France.","[{""month"":1,""temperatureC"":0.2,""rainfallMm"":5.9},{""month"":2,""temperatureC"":0.5,""rainfallMm"":14.2},{""month"":3,""temperatureC"":0.6,""rainfallMm"":5.5},{""month"":4,""temperatureC"":1.1,""rainfallMm"":5.4},{""month"":5,""temperatureC"":1.5,""rainfallMm"":14.1},{""month"":6,""temperatureC"":1.8,""rainfallMm"":4.5},{""month"":7,""temperatureC"":1.6,""rainfallMm"":16.1},{""month"":8,""temperatureC"":1.9,""rainfallMm"":9.3},{""month"":9,""temperatureC"":1.5,""rainfallMm"":7.4},{""month"":10,""temperatureC"":1.1,""rainfallMm"":8.9},{""month"":11,""temperatureC"":0.7,""rainfallMm"":13.1},{""month"":12,""temperatureC"":0.5,""rainfallMm"":6.9}]",real,0.95
alsace,2001,1.5,0.0,0,0,4,56.8,15.1,13.1,34,56.0,18.0,"{""solaire"":false,""frais"":false,""sec"":false,""pluvieux"":true,""stressHydrique"":false,""risquePluieVendanges"":false,""gelPrintemps"":true,""forteChaleur"":false}","Alsace 2001 : pluvieux, gel de printemps, calcule a partir des observations quotidiennes Meteo-France.","[{""month"":1,""temperatureC"":0.3,""rainfallMm"":9.5},{""month"":2,""temperatureC"":0.4,""rainfallMm"":7.2},{""month"":3,""temperatureC"":0.7,""rainfallMm"":23.7},{""month"":4,""temperatureC"":0.8,""rainfallMm"":11.6},{""month"":5,""temperatureC"":1.6,""rainfallMm"":8.1},{""month"":6,""temperatureC"":1.6,""rainfallMm"":8.9},{""month"":7,""temperatureC"":1.9,""rainfallMm"":9.2},{""month"":8,""temperatureC"":2.0,""rainfallMm"":5.9},{""month"":9,""temperatureC"":1.2,""rainfallMm"":13.1},{""month"":10,""temperatureC"":1.4,""rainfallMm"":8.0},{""month"":11,""temperatureC"":0.3,""rainfallMm"":10.3},{""month"":12,""temperatureC"":0.0,""rainfallMm"":10.2}]",real,0.95
alsace,2002,1.52,0.0,0,0,1,50.6,19.3,7.7,29,54.0,6.0,"{""solaire"":false,""frais"":false,""sec"":false,""pluvieux"":false,""stressHydrique"":false,""risquePluieVendanges"":false,""gelPrintemps"":false,""forteChaleur"":false}","Alsace 2002 : profil proche de la normale regionale, calcule a partir des observations quotidiennes Meteo-France.","[{""month"":1,""temperatureC"":0.1,""rainfallMm"":5.3},{""month"":2,""temperatureC"":0.6,""rainfallMm"":15.5},{""month"":3,""temperatureC"":0.7,""rainfallMm"":8.7},{""month"":4,""temperatureC"":0.9,""rainfallMm"":4.5},{""month"":5,""temperatureC"":1.3,""rainfallMm"":11.9},{""month"":6,""temperatureC"":1.9,""rainfallMm"":7.1},{""month"":7,""temperatureC"":1.8,""rainfallMm"":9.4},{""month"":8,""temperatureC"":1.8,""rainfallMm"":9.9},{""month"":9,""temperatureC"":1.3,""rainfallMm"":7.7},{""month"":10,""temperatureC"":1.0,""rainfallMm"":13.6},{""month"":11,""temperatureC"":0.7,""rainfallMm"":18.6},{""month"":12,""temperatureC"":0.4,""rainfallMm"":8.6}]",real,0.95
alsace,2003,1.76,0.0,0,0,7,32.5,10.8,4.4,68,57.0,5.0,"{""solaire"":false,""frais"":false,""sec"":true,""pluvieux"":false,""stressHydrique"":false,""risquePluieVendanges"":false,""gelPrintemps"":true,""forteChaleur"":false}","Alsace 2003 : sec, gel de printemps, calcule a partir des observations quotidiennes Meteo-France.","[{""month"":1,""temperatureC"":0.0,""rainfallMm"":12.3},{""month"":2,""temperatureC"":-0.0,""rainfallMm"":3.2},{""month"":3,""temperatureC"":0.8,""rainfallMm"":2.8},{""month"":4,""temperatureC"":1.0,""rainfallMm"":5.6},{""month"":5,""temperatureC"":1.5,""rainfallMm"":7.2},{""month"":6,""temperatureC"":2.2,""rainfallMm"":4.4},{""month"":7,""temperatureC"":2.0,""rainfallMm"":7.0},{""month"":8,""temperatureC"":2.3,""rainfallMm"":3.8},{""month"":9,""temperatureC"":1.5,""rainfallMm"":4.4},{""month"":10,""temperatureC"":0.7,""rainfallMm"":13.8},{""month"":11,""temperatureC"":0.7,""rainfallMm"":5.0},{""month"":12,""temperatureC"":0.2,""rainfallMm"":5.5}]",real,0.95
alsace,2004,1.54,0.0,0,0,1,43.5,21.0,4.1,33,54.0,4.0,"{""solaire"":false,""frais"":false,""sec"":false,""pluvieux"":false,""stressHydrique"":false,""risquePluieVendanges"":false,""gelPrintemps"":false,""forteChaleur"":false}","Alsace 2004 : profil proche de la normale regionale, calcule a partir des observations quotidiennes Meteo-France.","[{""month"":1,""temperatureC"":0.1,""rainfallMm"":19.8},{""month"":2,""temperatureC"":0.3,""rainfallMm"":3.2},{""month"":3,""temperatureC"":0.5,""rainfallMm"":4.6},{""month"":4,""temperatureC"":1.0,""rainfallMm"":5.6},{""month"":5,""temperatureC"":1.3,""rainfallMm"":6.6},{""month"":6,""temperatureC"":1.7,""rainfallMm"":6.2},{""month"":7,""temperatureC"":1.8,""rainfallMm"":7.5},{""month"":8,""temperatureC"":1.9,""rainfallMm"":13.5},{""month"":9,""temperatureC"":1.5,""rainfallMm"":4.1},{""month"":10,""temperatureC"":1.1,""rainfallMm"":19.5},{""month"":11,""temperatureC"":0.5,""rainfallMm"":4.6},{""month"":12,""temperatureC"":0.1,""rainfallMm"":8.0}]",real,0.95
alsace,2005,1.59,0.0,0,0,2,45.9,16.3,5.9,80,55.0,9.0,"{""solaire"":false,""frais"":false,""sec"":false,""pluvieux"":false,""stressHydrique"":false,""risquePluieVendanges"":false,""gelPrintemps"":false,""forteChaleur"":false}","Alsace 2005 : profil proche de la normale regionale, calcule a partir des observations quotidiennes Meteo-France.","[{""month"":1,""temperatureC"":0.2,""rainfallMm"":7.0},{""month"":2,""temperatureC"":-0.0,""rainfallMm"":6.5},{""month"":3,""temperatureC"":0.6,""rainfallMm"":4.0},{""month"":4,""temperatureC"":1.0,""rainfallMm"":9.8},{""month"":5,""temperatureC"":1.4,""rainfallMm"":8.7},{""month"":6,""temperatureC"":1.9,""rainfallMm"":5.3},{""month"":7,""temperatureC"":1.9,""rainfallMm"":9.5},{""month"":8,""temperatureC"":1.7,""rainfallMm"":6.8},{""month"":9,""temperatureC"":1.6,""rainfallMm"":5.9},{""month"":10,""temperatureC"":1.2,""rainfallMm"":6.2},{""month"":11,""temperatureC"":0.4,""rainfallMm"":3.9},{""month"":12,""temperatureC"":0.1,""rainfallMm"":9.2}]",real,0.95
alsace,2006,1.63,0.0,0,0,3,60.1,22.4,12.3,39,53.0,15.0,"{""solaire"":false,""frais"":false,""sec"":false,""pluvieux"":true,""stressHydrique"":false,""risquePluieVendanges"":false,""gelPrintemps"":true,""forteChaleur"":false}","Alsace 2006 : pluvieux, gel de printemps, calcule a partir des observations quotidiennes Meteo-France.","[{""month"":1,""temperatureC"":-0.1,""rainfallMm"":3.7},{""month"":2,""temperatureC"":0.1,""rainfallMm"":8.1},{""month"":3,""temperatureC"":0.4,""rainfallMm"":17.5},{""month"":4,""temperatureC"":0.9,""rainfallMm"":8.0},{""month"":5,""temperatureC"":1.4,""rainfallMm"":12.2},{""month"":6,""temperatureC"":1.8,""rainfallMm"":5.2},{""month"":7,""temperatureC"":2.3,""rainfallMm"":4.5},{""month"":8,""temperatureC"":1.6,""rainfallMm"":17.9},{""month"":9,""temperatureC"":1.7,""rainfallMm"":12.3},{""month"":10,""temperatureC"":1.3,""rainfallMm"":12.9},{""month"":11,""temperatureC"":0.8,""rainfallMm"":5.8},{""month"":12,""temperatureC"":0.4,""rainfallMm"":7.2}]",real,0.95
alsace,2007,1.59,0.0,0,0,0,59.8,24.0,6.8,37,53.0,10.0,"{""solaire"":false,""frais"":false,""sec"":false,""pluvieux"":true,""stressHydrique"":false,""risquePluieVendanges"":false,""gelPrintemps"":false,""forteChaleur"":false}","Alsace 2007 : pluvieux, calcule a partir des observations quotidiennes Meteo-France.","[{""month"":1,""temperatureC"":0.5,""rainfallMm"":11.9},{""month"":2,""temperatureC"":0.6,""rainfallMm"":12.3},{""month"":3,""temperatureC"":0.6,""rainfallMm"":10.3},{""month"":4,""temperatureC"":1.4,""rainfallMm"":1.3},{""month"":5,""temperatureC"":1.5,""rainfallMm"":13.3},{""month"":6,""temperatureC"":1.8,""rainfallMm"":14.5},{""month"":7,""temperatureC"":1.8,""rainfallMm"":12.3},{""month"":8,""temperatureC"":1.7,""rainfallMm"":11.7},{""month"":9,""temperatureC"":1.3,""rainfallMm"":6.8},{""month"":10,""temperatureC"":1.0,""rainfallMm"":0.9},{""month"":11,""temperatureC"":0.4,""rainfallMm"":9.7},{""month"":12,""temperatureC"":0.1,""rainfallMm"":12.0}]",real,0.95
alsace,2008,1.53,0.0,0,0,3,52.5,19.4,9.0,41,54.0,9.0,"{""solaire"":false,""frais"":false,""sec"":false,""pluvieux"":false,""stressHydrique"":false,""risquePluieVendanges"":false,""gelPrintemps"":true,""forteChaleur"":false}","Alsace 2008 : gel de printemps, calcule a partir des observations quotidiennes Meteo-France.","[{""month"":1,""temperatureC"":0.4,""rainfallMm"":9.3},{""month"":2,""temperatureC"":0.4,""rainfallMm"":5.9},{""month"":3,""temperatureC"":0.5,""rainfallMm"":11.9},{""month"":4,""temperatureC"":0.8,""rainfallMm"":10.8},{""month"":5,""temperatureC"":1.6,""rainfallMm"":6.7},{""month"":6,""temperatureC"":1.8,""rainfallMm"":6.6},{""month"":7,""temperatureC"":1.9,""rainfallMm"":7.6},{""month"":8,""temperatureC"":1.8,""rainfallMm"":11.8},{""month"":9,""temperatureC"":1.3,""rainfallMm"":9.0},{""month"":10,""temperatureC"":1.0,""rainfallMm"":11.5},{""month"":11,""temperatureC"":0.5,""rainfallMm"":4.8},{""month"":12,""temperatureC"":0.1,""rainfallMm"":7.2}]",real,0.95
alsace,2009,1.65,0.0,0,0,0,38.7,17.2,3.2,51,55.0,4.0,"{""solaire"":false,""frais"":false,""sec"":true,""pluvieux"":false,""stressHydrique"":false,""risquePluieVendanges"":false,""gelPrintemps"":false,""forteChaleur"":false}","Alsace 2009 : sec, calcule a partir des observations quotidiennes Meteo-France.","[{""month"":1,""temperatureC"":-0.1,""rainfallMm"":4.3},{""month"":2,""temperatureC"":0.1,""rainfallMm"":8.1},{""month"":3,""temperatureC"":0.5,""rainfallMm"":10.2},{""month"":4,""temperatureC"":1.2,""rainfallMm"":2.6},{""month"":5,""temperatureC"":1.6,""rainfallMm"":7.5},{""month"":6,""temperatureC"":1.7,""rainfallMm"":8.1},{""month"":7,""temperatureC"":1.9,""rainfallMm"":12.9},{""month"":8,""temperatureC"":2.0,""rainfallMm"":4.3},{""month"":9,""temperatureC"":1.6,""rainfallMm"":3.2},{""month"":10,""temperatureC"":1.0,""rainfallMm"":5.2},{""month"":11,""temperatureC"":0.8,""rainfallMm"":13.0},{""month"":12,""temperatureC"":0.2,""rainfallMm"":16.0}]",real,0.95
