id,name,elevation_m,location_wkt,source_type,department
02022001,ARCY-STE-RESTIT,104,SRID=4326;POINT(3.505 49.263333),real,02
02031001,AUBENTON,177,SRID=4326;POINT(4.2005 49.834),real,02
02035001,AUDIGNY,150,SRID=4326;POINT(3.65 49.866667),real,02
02037002,AULNOIS-SS-LAON,78,SRID=4326;POINT(3.610333 49.595667),real,02
02058001,BEAURIEUX,56,SRID=4326;POINT(3.732667 49.390333),real,02
02086001,BICHANCOURT,59,SRID=4326;POINT(3.210833 49.579333),real,02
02094001,BLESMES,222,SRID=4326;POINT(3.462667 49.009667),real,02
02095001,BOHAIN-EN-VERMA,135,SRID=4326;POINT(3.45 49.983333),real,02
02100001,BONY,94,SRID=4326;POINT(3.2245 50.003167),real,02
02109001,LA BOUTEILLE,133,SRID=4326;POINT(3.968333 49.891667),real,02
02110001,BRAINE - MAN,53,SRID=4326;POINT(3.5275 49.344167),real,02
02110002,BRAINE,61,SRID=4326;POINT(3.527 49.351333),real,02
02114001,BRASLES,64,SRID=4326;POINT(3.421167 49.048667),real,02
02135001,BUIRONFOSSE,208,SRID=4326;POINT(3.838333 49.961667),real,02
02153001,CESSIERES,107,SRID=4326;POINT(3.498333 49.553333),real,02
02163001,CHARLY,64,SRID=4326;POINT(3.3 48.983333),real,02
02173002,CHAUNY,83,SRID=4326;POINT(3.197833 49.633833),real,02
02182001,CHEVENNES,125,SRID=4326;POINT(3.733333 49.816667),real,02
02197001,CLAIRFONTAINE,225,SRID=4326;POINT(3.966667 49.966667),real,02
02199001,CLASTRES,75,SRID=4326;POINT(3.2285 49.742833),real,02
02219001,COUCY-LA-VILLE,171,SRID=4326;POINT(3.361167 49.550667),real,02
02220001,COULONGES-COHAN,168,SRID=4326;POINT(3.605833 49.214167),real,02
02239001,CREZANCY,125,SRID=4326;POINT(3.5 49.05),real,02
02258001,DAMMARD,146,SRID=4326;POINT(3.197333 49.146333),real,02
02278001,EPARCY,161,SRID=4326;POINT(4.0595 49.875),real,02
02298001,ETREUX,120,SRID=4326;POINT(3.646833 49.987833),real,02
02301002,FAUCOUCOURT,100,SRID=4326;POINT(3.462167 49.527333),real,02
02320001,ST QUENTIN,98,SRID=4326;POINT(3.206 49.818333),real,02
02321001,FONTAINE-VV MAN,184,SRID=4326;POINT(3.8795 49.836333),real,02
02321002,FONTAINE-LES-VV,186,SRID=4326;POINT(3.877833 49.837333),real,02
02346001,GIZY,75,SRID=4326;POINT(3.781 49.599833),real,02
02361002,GUISE,95,SRID=4326;POINT(3.620833 49.902833),real,02
02381001,HIRSON,165,SRID=4326;POINT(4.077167 49.922),real,02
02408002,LAON,82,SRID=4326;POINT(3.596667 49.57),real,02
02433001,LISLET,114,SRID=4326;POINT(4.0235 49.685833),real,02
02471001,MARTIGNY-COURPI,95,SRID=4326;POINT(3.693167 49.485667),real,02
02475001,MENNEVILLE,59,SRID=4326;POINT(4.0055 49.419833),real,02
02502001,MONTCORNET,130,SRID=4326;POINT(4.0215 49.69),real,02
02505001,MONTFAUCON,217,SRID=4326;POINT(3.441 48.973333),real,02
02558001,NOUVION-EN-T,182,SRID=4326;POINT(3.7765 50.007833),real,02
02575001,ORIGNY-STE-BENO,75,SRID=4326;POINT(3.481 49.839167),real,02
02577001,OSTEL,162,SRID=4326;POINT(3.550833 49.434167),real,02
